18
(0,1,22)
(0,2,28)
(0,3,9)
(0,5,42)
(0,7,36)
(0,8,23)
(0,17,28)
(1,8,39)
(1,11,46)
(1,16,2)
(1,17,11)
(2,6,46)
(2,7,34)
(2,10,9)
(2,11,6)
(2,13,37)
(2,14,38)
(2,17,13)
(3,0,49)
(3,4,8)
(3,5,13)
(3,9,32)
(3,10,21)
(3,11,30)
(3,13,17)
(3,14,15)
(3,15,2)
(4,2,11)
(4,6,46)
(4,7,15)
(4,10,43)
(4,11,20)
(4,12,28)
(4,14,12)
(4,16,47)
(4,17,42)
(5,0,25)
(5,3,25)
(5,8,28)
(5,11,38)
(5,13,19)
(5,14,23)
(5,15,50)
(5,16,3)
(6,2,28)
(6,5,12)
(6,9,32)
(6,10,41)
(6,14,42)
(6,17,47)
(7,1,42)
(7,2,46)
(7,3,48)
(7,6,39)
(7,12,45)
(7,13,41)
(7,17,36)
(8,0,5)
(8,1,34)
(8,3,41)
(8,5,17)
(8,9,2)
(8,10,8)
(8,14,5)
(8,15,24)
(8,16,49)
(9,0,5)
(9,1,19)
(9,2,8)
(9,3,23)
(9,5,18)
(9,6,8)
(9,7,43)
(9,10,12)
(9,11,7)
(9,13,27)
(9,14,41)
(9,15,44)
(9,17,44)
(10,1,5)
(10,2,46)
(10,6,22)
(10,7,6)
(10,12,42)
(10,13,41)
(10,17,12)
(11,2,26)
(11,4,50)
(11,5,37)
(11,6,30)
(11,7,49)
(11,8,10)
(11,9,43)
(11,17,43)
(12,2,23)
(12,3,9)
(12,8,10)
(12,11,1)
(12,13,9)
(13,0,39)
(13,1,9)
(13,3,23)
(13,8,33)
(13,11,16)
(13,14,21)
(13,15,6)
(13,16,8)
(13,17,38)
(14,1,35)
(14,2,48)
(14,3,23)
(14,5,28)
(14,6,37)
(14,11,19)
(14,15,49)
(14,16,45)
(14,17,22)
(15,0,15)
(15,1,33)
(15,4,7)
(15,5,20)
(15,6,50)
(15,7,33)
(15,8,10)
(15,9,12)
(15,11,12)
(15,12,6)
(15,13,28)
(15,14,34)
(15,16,1)
(15,17,6)
(16,1,41)
(16,2,34)
(16,3,38)
(16,6,35)
(16,7,2)
(16,8,3)
(16,9,8)
(16,10,6)
(16,13,34)
(16,15,9)
(17,1,39)
(17,2,24)
(17,5,14)
(17,6,21)
(17,9,26)
(17,10,47)
(17,12,7)
(17,15,48)
